code	scientific_name	english_name	euring_scientific_name	euring_english_name	aphia_id	aphia_scientific_name	remarks
1440	Platalea leucorodia	Eurasian Spoonbill	Platalea leucorodia		416678	Platalea leucorodia	
1520	Cygnus olor	Mute Swan	Cygnus olor		159090	Cygnus olor	
1530	Cygnus columbianus	Tundra Swan	Cygnus columbianus		159088	Cygnus columbianus	
1540	Cygnus cygnus	Whooper Swan	Cygnus cygnus		159089	Cygnus cygnus	
1559	Cygnus sp.	unidentified swan	Cygnus sp.		159087	Cygnus	previously 1549 (v5)
20800	Cygnus atratus	Black Swan	Cygnus atratus		225915	Cygnus atratus	previously 1545 (v5)
1569	Anser / Branta sp.	unidentified goose	Anser sp. / Branta sp.		136973	Anatidae	previously 1699 (v5)
!1570	Anser fabalis / serrirostris rossicus	Taiga / Tundra Bean Goose (rossicus)			159158	Anser	
1571	Anser fabalis	Taiga Bean Goose	Anser fabalis fabalis		416685	Anser fabalis	
1574	Anser serrirostris rossicus	Tundra Bean Goose (rossicus)	Anser fabalis rossicus		1488266	Anser serrirostris	
1580	Anser brachyrhynchus	Pink-footed Goose	Anser brachyrhynchus		416683	Anser brachyrhynchus	
1590	Anser albifrons	Greater White-fronted Goose	Anser albifrons		159159	Anser albifrons	
1610	Anser anser	Greylag Goose	Anser anser		416682	Anser anser	
1620	Anser indicus	Bar-headed goose	Anser indicus		1037301	Anser indicus	
1659	Anser sp.	unidentified (Anser) goose	Anser sp.		159158	Anser	previously 1639 (v5)
1660	Branta canadensis	Canada Goose	Branta canadensis		159176	Branta canadensis	
1670	Branta leucopsis	Barnacle Goose	Branta leucopsis		159177	Branta leucopsis	
1680	Branta bernicla	Brent Goose	Branta bernicla		159175	Branta bernicla	
1681	Branta bernicla bernicla	Dark-bellied Brent Goose	Branta bernicla bernicla		159175	Branta bernicla	
1682	Branta bernicla hrota	Pale-bellied Brent Goose	Branta bernicla hrota		159175	Branta bernicla	
1700	Alopochen aegyptiacus	Egyptian Goose	Alopochen aegyptiacus		416680	Alopochen aegyptiaca	
1730	Tadorna tadorna	Shelduck	Tadorna tadorna		232042	Tadorna tadorna	
1790	Mareca penelope	Eurasian Wigeon	Anas penelope		1464521	Mareca penelope	
1820	Mareca strepera	Gadwall	Anas strepera				
