code	scientific_name	english_name	euring_scientific_name	euring_english_name	aphia_id	aphia_scientific_name	remarks
12600	Hippolais polyglotta	Melodious Warbler	Hippolais polyglotta				
12730	Sylvia nisoria	Barred Warbler	Sylvia nisoria		558596	Sylvia nisoria	
12740	Sylvia curruca	Lesser Whitethroat	Sylvia curruca				
12750	Sylvia communis	Common Whitethroat	Sylvia communis		558595	Sylvia communis	
12760	Sylvia borin	Garden Warbler	Sylvia borin		558594	Sylvia borin	
12770	Sylvia atricapilla	Eurasian Blackcap	Sylvia atricapilla		558593	Sylvia atricapilla	
12930	Phylloscopus trochiloides	Greenish Warbler	Phylloscopus trochiloides				
12970	Phylloscopus maculipennis	Ashy-throated Warbler	Phylloscopus maculipennis				
13000	Phylloscopus inornatus	Yellow-browed Warbler	Phylloscopus inornatus				
13080	Phylloscopus sibilatrix	Wood Warbler	Phylloscopus sibilatrix				
13110	Phylloscopus collybita	Common Chiffchaff	Phylloscopus collybita		558578	Phylloscopus collybita	
13120	Phylloscopus trochilus	Willow Warbler	Phylloscopus trochilus		558579	Phylloscopus trochilus	
13129	Phylloscopus sp.	unidentified (Phylloscopus) warbler	Phylloscopus sp.		558577	Phylloscopus	previously 13115 (v5)
13140	Regulus regulus	Goldcrest	Regulus regulus		558583	Regulus regulus	
13150	Regulus ignicapillus	Common Firecrest	Regulus ignicapillus		558582	Regulus ignicapilla	
13350	Muscicapa striata	Spotted Flycatcher	Muscicapa striata		558563	Muscicapa striata	
13430	Ficedula parva	Red-breasted Flycatcher	Ficedula parva		558556	Ficedula parva	
13490	Ficedula hypoleuca	European Pied Flycatcher	Ficedula hypoleuca				
14610	Periparus ater	Coal Tit	Parus ater				
14620	Cyanistes caeruleus	Eurasian Blue Tit	Parus caeruleus				
14640	Parus major	Great Tit	Parus major		558568	Parus major	
15150	Lanius collurio	Red-backed Shrike	Lanius collurio				
15280	Cyanocorax dickeyi	Dickey's Jay	Cyanocorax dickeyi				
15600	Coloeus monedula	Western Jackdaw	Corvus monedula		1461962	Coloeus monedula	
15630	Corvus frugilegus	Rook	Corvus frugilegus		558547	Corvus frugilegus	
!15670	Corvus corone / cornix	Carrion / Hooded Crow			159387	Corvus	
15671	Corvus corone	Carrion Crow	Corvus corone corone		232057	Corvus corone	
15673	Corvus cornix	Hooded Crow	Corvus corone cornix		567860	Corvus cornix	
15720	Corvus corax	Northern Raven	Corvus corax		159389	Corvus corax	
15749	Corvus sp.	unidentified crow	Corvus sp.		159387	Corvus	previously 15675 (v5)
15820	Sturnus vulgaris	Common Starling	Sturnus vulgaris		558591	Sturnus vulgaris	
15910	Passer domesticus	House Sparrow	Passer domesticus		1451658	Passer domesticus	
15980	Passer montanus	Eurasian Tree Sparrow	Passer montanus		558571	Passer montanus	
16350	Vireo gilvus	Eastern Warbling Vireo	Vireo gilvus				
16360	Fringilla coelebs	Common chaffinch	Fringilla coelebs		558558	Fringilla coelebs	
16380	Fringilla montifringilla	Brambling	Fringilla montifringilla		558559	Fringilla montifringilla	
16389	Fringilla sp.	unidentified finch	Fringilla sp.		558557	Fringilla	previously 16365 (v5)
16400	Serinus serinus	European Serin	Serinus serinus				
16490	Carduelis chloris	European Greenfinch	Carduelis chloris				
16520	Carduelis spinoides	Yellow-breasted Greenfinch	Carduelis spinoides				
16530	Carduelis carduelis	European Goldfinch	Carduelis carduelis		558536	Carduelis carduelis	
16540	Spinus spinus	Eurasian Siskin	Carduelis spinus				
16600	Linaria cannabina	Common Linnet	Carduelis cannabina				
16620	Linaria flavirostris	Twite	Carduelis flavirostris				
16630	Carduelis flammea	Common Redpoll	Carduelis flammea		558537	Carduelis flammea	
16660	Loxia curvirostra	Red Crossbill	Loxia curvirostra				
16790	Carpodacus erythrinus	Common Rosefinch	Carpodacus erythrinus				
17100	Pyrrhula pyrrhula	Eurasian Bullfinch	Pyrrhula pyrrhula		1461958	Pyrrhula pyrrhula	
17170	Coccothraustes coccothraustes	Hawfinch	Coccothraustes coccothraustes		558543	Coccothraustes coccothraustes	
17450	Dendroica virens	Black-throated Green Warbler	Dendroica virens		422640	Dendroica virens	
18470	Calcarius lapponicus	Lapland Longspur	Calcarius lapponicus		383230	Calcarius lapponicus	
18500	Plectrophenax nivalis	Snow Bunting	Plectrophenax nivalis		383228	Plectrophenax nivalis	
18570	Emberiza citrinella	Yellowhammer	Emberiza citrinella				
18770	Emberiza schoeniclus	Common Reed Bunting	Emberiza schoeniclus		558549	Emberiza schoeniclus	
18810	Emberiza melanocephala	Black-headed Bunting	Emberiza melanocephala				
18820	Emberiza calandra	Corn Bunting	Miliaria calandra				
!18829		unidentified bunting					
!19998	Aves	unidentified bird			1836	Aves	
!19999	Passeriformes	unidentified passerine			159384	Passeriformes	
51000		unidentified bat		unidentified bat			
!60000		unidentified marine mammal					
61000		unidentified whale or dolphin		unidentified whale or dolphin	2688	Cetacea	
61010		unidentified whale		unidentified whale	2688	Cetacea	
61020		unidentified large whale		unidentified large whale			
61040		unidentified large whale with distinct dorsal fin		unidentified large whale with distinct dorsal fin			
61050		unidentified medium whale		unidentified medium whale			
61060		Sei / Minke / Bottlenosed Whale		Sei / Minke / Bottlenosed Whale			
61070		unidentified small whale		unidentified small whale			
62040	Balaena glacialis	Northern Right Whale	Balaena glacialis	Northern Right Whale	380473	Balaena glacialis	
62210		Blue / Fin / Sei Whale		large Balaenoptera spec.	137013	Balaenoptera	
62220	Balaenoptera musculus	Blue Whale	Balaenoptera musculus	Blue Whale	137090	Balaenoptera musculus	
62230	Balaenoptera physalus	Fin Whale	Balaenoptera physalus	Fin Whale	137091	Balaenoptera physalus	
62240	Balaenoptera borealis	Sei Whale	Balaenoptera borealis	Sei Whale	137088	Balaenoptera borealis	
62250	Balaenoptera edeni	Bryde's Whale	Balaenoptera edeni	Bryde's Whale	137089	Balaenoptera edeni	
62260	Balaenoptera acutorostrata	Minke Whale	Balaenoptera acutorostrata	Minke Whale	137087	Balaenoptera acutorostrata	
62270	Megaptera novaeangliae	Humpback Whale	Megaptera novaeangliae	Humpback Whale	137092	Megaptera novaeangliae	
62520	Physeter macrocephalus	Sperm Whale	Physeter macrocephalus	Sperm Whale	137119	Physeter macrocephalus	
62620	Delphinapterus leucas	Beluga	Delphinapterus leucas	Beluga	137115	Delphinapterus leucas	
62740	Ziphius cavirostris	Cuvier's Beaked Whale	Ziphius cavirostris	Cuvier's Beaked Whale	137127	Ziphius cavirostris	
62750	Hyperoodon ampullatus	Northern Bottlenose Whale	Hyperoodon ampullatus	Northern Bottlenose Whale	343899	Hyperoodon ampullatus	
62770	Mesoplodon sp.	unidentified beaked whale	Mesoplodon sp.	unidentified beaked whale	137034	Mesoplodon	
62800	Mesoplodon mirus	True's Beaked Whale	Mesoplodon mirus	True's Beaked Whale	137126	Mesoplodon mirus	
62880	Mesoplodon bidens	Sowerby's Beaked Whale	Mesoplodon bidens	Sowerby's Beaked Whale	137121	Mesoplodon bidens	
62890	Mesoplodon densirostris	Blainville's Beaked Whale	Mesoplodon densirostris	Blainville's Beaked Whale	137122	Mesoplodon densirostris	
63010		unidentified medium whale with large fin		unidentified medium whale with large fin	2688	Cetacea	
63020	Orcinus orca	Killer Whale	Orcinus orca	Killer Whale	137102	Orcinus orca	
63030	Globicephala sp. / Pseudorca sp.	Pilot / False Killer Whale	Globicephala sp. / Pseudorca sp.	Pilot / False Killer Whale	136980	Delphinidae	
63040	Pseudorca crassidens	False Killer Whale	Pseudorca crassidens	False Killer Whale	137104	Pseudorca crassidens	
63070	Globicephala melaena	Long-finned Pilot Whale	Globicephala melaena	Long-finned Pilot Whale	148727	Globicephala melaena	
63080	Globicephala macrorhynchus	Short-finned Pilot Whale	Globicephala macrorhynchus	Short-finned Pilot Whale	137096	Globicephala macrorhynchus	
!63089	Globicephala sp.	unidentified pilot whale			137017	Globicephala	
63110		unidentified dolphin		unidentified dolphin	136980	Delphinidae	
63120		patterned dolphin		patterned dolphin	136980	Delphinidae	
63130		unpatterned dolphin		unpatterned dolphin	136980	Delphinidae	
63150	Souza teuszii	Atlantic Hump-backed Dolphin	Souza teuszii	Atlantic Hump-backed Dolphin	254970	Sousa teuszii	
63190	Tursiops truncatus	Bottlenose Dolphin	Tursiops truncatus	Bottlenose Dolphin	137111	Tursiops truncatus	
63200	Stenella coeruleoalba	Striped Dolphin	Stenella coeruleoalba	Striped Dolphin	137107	Stenella coeruleoalba	
63240	Stenella frontalis	Atlantic Spotted Dolphin	Stenella frontalis	Atlantic Spotted Dolphin	137108	Stenella frontalis	
63250	Delphinus delphis	Common Dolphin	Delphinus delphis	Common Dolphin	137094	Delphinus delphis	
!63255	Delphinus delphis / Stenella coeruleoalba	Common / Striped Dolphin			136980	Delphinidae	
63260	Lagenorhynchus sp.		Lagenorhynchus sp.		142369	Lagenorhynchus	
63270	Lagenorhynchus albirostris	White-beaked Dolphin	Lagenorhynchus albirostris	White-beaked Dolphin	137101	Lagenorhynchus albirostris	
63280	Lagenorhynchus acutus	Atlantic White-sided Dolphin	Lagenorhynchus acutus	Atlantic White-sided Dolphin	137100	Lagenorhynchus acutus	
63400	Grampus griseus	Risso's Dolphin	Grampus griseus	Risso's Dolphin	137098	Grampus griseus	
63510	Phocoena phocoena	Harbour Porpoise	Phocoena phocoena	Harbour Porpoise	137117	Phocoena phocoena	
64210	Odobenus rosmarus	Walrus	Odobenus rosmarus	Walrus	137077	Odobenus rosmarus	
64310		unidentified seal		unidentified seal	148736	Pinnipedia	
64320	Halichoerus grypus	Grey Seal	Halichoerus grypus	Grey Seal	137080	Halichoerus grypus	
64330	Phoca vitulina	Common Seal	Phoca vitulina	Common Seal	137084	Phoca vitulina	
64350	Phoca hispida	Ringed Seal	Phoca hispida	Ringed Seal	137083	Phoca hispida	
64380	Phoca groenlandica	Harp Seal	Phoca groenlandica	Harp Seal	137082	Phoca groenlandica	
64400	Cystophora cristata	Hooded Seal	Cystophora cristata	Hooded Seal	137078	Cystophora cristata	
64410	Erignathus barbatus	Bearded Seal	Erignathus barbatus	Bearded Seal	137079	Erignathus barbatus	
64420	Monachus monachus	Mediterranean Monk Seal	Monachus monachus	Mediterranean Monk Seal	137081	Monachus monachus	
!65000		unidentified sea turtle					
!65010	Dermochelys coriacea	Leathery Turtle			137209	Dermochelys coriacea	
!65020	Caretta caretta	Loggerhead Turtle			137205	Caretta caretta	
!65050	Chelonia mydas	Green Turtle			137206	Chelonia mydas	
!66000		unidentified shark					
!66010	Lamna nasus	Porbeagle			105841	Lamna nasus	
!66020	Isurus oxyrhinchus	Mako			105839	Isurus oxyrinchus	
!66030	Cetorhinus maximus	Basking Shark			105837	Cetorhinus maximus	
!66050	Prionace glauca	Blue Shark			105801	Prionace glauca	
!66065	Sphyrna sp.	unidentified hammerhead			105730	Sphyrna	
!67000		unidentified flying fish					
!67600		unidentified tuna					
!67810	Xiphias gladius	Swordfish			127094	Xiphias gladius	
!67815	Makaira sp.	unidentified marlin			126013	Makaira	
!67820	Mobula mobular	Devil Ray			105858	Mobula mobular	previously 27820 (v5)
!67900	Mola mola	Sun-fish			127405	Mola mola	
!67902	Loligo sp.	unidentified myopsid squid			138139	Loligo	
!67905		unidentified fish					
!67906	Ballistes carolinensis	Common trigger fish			127395	Balistes carolinensis	
!67907	Physalia physalis	Portuguese Man of War			135479	Physalia physalis	
!68000	Ammodytes sp.	sandeel ball			125909	Ammodytes	
!68001	Mallotus villosus	Capelin ball			126735	Mallotus villosus	
!68002		unidentified fish school					
!68100		unidentified fish ball					previously 28100 (v5)
!68500	Velella velella	Velella			117832	Velella velella	previously 28500 (v5)
