esas_code	scientific_name	english_name	euring_code	euring_scientific_name	aphia_id	aphia_scientific_name	remarks
10171	Motacilla flava flava	Western Yellow Wagtail (flava)	10171	Motacilla flava flava	1534846	Motacilla flava flava	
10180	Motacilla citreola	Citrine Wagtail	10180	Motacilla citreola	1534843	Motacilla citreola	
10190	Motacilla cinerea	Grey Wagtail	10190	Motacilla cinerea	558560	Motacilla cinerea	
10200	Motacilla alba	White Wagtail	10200	Motacilla alba	232066	Motacilla alba	
10201	Motacilla alba alba	White Wagtail (alba)	10201	Motacilla alba alba	1534838	Motacilla alba alba	
10202	Motacilla alba yarrellii	White Wagtail (yarrellii)	10202	Motacilla alba yarrellii	558561	Motacilla alba yarrellii	
10239	Motacilla sp.	unidentified wagtail	10239	Motacilla sp.	206855	Motacilla	10209 (v5)
10480	Bombycilla garrulus	Bohemian Waxwing	10480	Bombycilla garrulus	1484312	Bombycilla garrulus	
10490	Hypocolius ampelinus	Grey Hypocolius	10490	Hypocolius ampelinus	1534810	Hypocolius ampelinus	
10660	Troglodytes troglodytes	Winter Wren	10660	Troglodytes troglodytes	558598	Troglodytes troglodytes	
10840	Prunella modularis	Dunnock	10840	Prunella modularis	1534864	Prunella modularis	
10990	Erithacus rubecula	European Robin	10990	Erithacus rubecula	558552	Erithacus rubecula	
11040	Luscinia megarhynchos	Common Nightingale	11040	Luscinia megarhynchos	1534833	Luscinia megarhynchos	
11060	Luscinia svecica	Bluethroat	11060	Luscinia svecica	1037315	Luscinia svecica	
11061	Luscinia svecica svecica	Bluethroat (svecica)	11061	Luscinia svecica svecica	1534834	Luscinia svecica svecica	unaccepted taxon in WoRMS
11210	Phoenicurus ochruros	Black Redstart	11210	Phoenicurus ochruros	558575	Phoenicurus ochruros	
11220	Phoenicurus phoenicurus	Common Redstart	11220	Phoenicurus phoenicurus	558576	Phoenicurus phoenicurus	
11370	Saxicola rubetra	Whinchat	11370	Saxicola rubetra	558585	Saxicola rubetra	
11390	Saxicola rubicola	European Stonechat	11390	Saxicola torquata	1534874	Saxicola rubicola	
11460	Oenanthe oenanthe	Northern Wheatear	11460	Oenanthe oenanthe	426237	Oenanthe oenanthe	
11770	Catharus ustulatus	Swainson's Thrush	11770	Catharus ustulatus	1484357	Catharus ustulatus	
11860	Turdus torquatus	Ring Ouzel	11860	Turdus torquatus	558605	Turdus torquatus	
11870	Turdus merula	Common Blackbird	11870	Turdus merula	558602	Turdus merula	
11890	Turdus kessleri	White-backed Thrush	11890	Turdus kessleri	558601	Turdus kessleri	
11980	Turdus pilaris	Fieldfare	11980	Turdus pilaris	558604	Turdus pilaris	
12000	Turdus philomelos	Song Thrush	12000	Turdus philomelos	558603	Turdus philomelos	
12005	Turdus philomelos / iliacus	Song Thrush / Redwing			558599	Turdus	
12010	Turdus iliacus	Redwing	12010	Turdus iliacus	558600	Turdus iliacus	
12020	Turdus viscivorus	Mistle Thrush	12020	Turdus viscivorus	558606	Turdus viscivorus	
12069	Turdus sp.	unidentified thrush	12069	Turdus sp.	558599	Turdus	12009 (v5)
12200	Cettia cetti	Cetti's Warbler	12200	Cettia cetti	1508558	Cettia cetti	
12360	Locustella naevia	Common Grasshopper Warbler	12360	Locustella naevia	1534819	Locustella naevia	
12430	Acrocephalus schoenobaenus	Sedge Warbler	12430	Acrocephalus schoenobaenus	1037298	Acrocephalus schoenobaenus	
12500	Acrocephalus palustris	Marsh Warbler	12500	Acrocephalus palustris	558526	Acrocephalus palustris	
12510	Acrocephalus scirpaceus	Eurasian Reed Warbler	12510	Acrocephalus scirpaceus	558528	Acrocephalus scirpaceus	
12549	Acrocephalus sp.	unidentified (Acrocephalus) warbler	12549	Acrocephalus sp.	205016	Acrocephalus	
12590	Hippolais icterina	Icterine Warbler	12590	Hippolais icterina	1459896	Hippolais icterina	
12600	Hippolais polyglotta	Melodious Warbler	12600	Hippolais polyglotta	1534797	Hippolais polyglotta	
12650	Curruca cantillans / iberiae / subalpina	Eastern Subalpine / Western Subalpine / Moltoni's Warbler	12650	Curruca cantillans / iberiae / subalpina	159384	Passeriformes	
12730	Sylvia nisoria	Barred Warbler	12730	Sylvia nisoria	558596	Sylvia nisoria	
12740	Sylvia curruca	Lesser Whitethroat	12740	Sylvia curruca	1534886	Sylvia curruca	
12750	Sylvia communis	Common Whitethroat	12750	Sylvia communis	558595	Sylvia communis	
12760	Sylvia borin	Garden Warbler	12760	Sylvia borin	558594	Sylvia borin	
12770	Sylvia atricapilla	Eurasian Blackcap	12770	Sylvia atricapilla	558593	Sylvia atricapilla	
12930	Phylloscopus trochiloides	Greenish Warbler	12930	Phylloscopus trochiloides	1534858	Phylloscopus trochiloides	
12970	Phylloscopus maculipennis	Ashy-throated Warbler	12970	Phylloscopus maculipennis	1534854	Phylloscopus maculipennis	
13000	Phylloscopus inornatus	Yellow-browed Warbler	13000	Phylloscopus inornatus	1534850	Phylloscopus inornatus	
13080	Phylloscopus sibilatrix	Wood Warbler	13080	Phylloscopus sibilatrix	1534855	Phylloscopus sibilatrix	
13110	Phylloscopus collybita	Common Chiffchaff	13110	Phylloscopus collybita	558578	Phylloscopus collybita	
13120	Phylloscopus trochilus	Willow Warbler	13120	Phylloscopus trochilus	558579	Phylloscopus trochilus	
13129	Phylloscopus sp.	unidentified (Phylloscopus) warbler	13129	Phylloscopus sp.	558577	Phylloscopus	13115 (v5)
13140	Regulus regulus	Goldcrest	13140	Regulus regulus	558583	Regulus regulus	
13150	Regulus ignicapilla	Common Firecrest	13150	Regulus ignicapillus	558582	Regulus ignicapilla	
13350	Muscicapa striata	Spotted Flycatcher	13350	Muscicapa striata	558563	Muscicapa striata	
13430	Ficedula parva	Red-breasted Flycatcher	13430	Ficedula parva	558556	Ficedula parva	
13490	Ficedula hypoleuca	European Pied Flycatcher	13490	Ficedula hypoleuca	1534793	Ficedula hypoleuca	
14610	Parus ater	Coal Tit	14610	Parus ater	558566	Parus ater	
14620	Parus caeruleus	Eurasian Blue Tit	14620	Parus caeruleus	558567	Parus caeruleus	
14640	Parus major	Great Tit	14640	Parus major	558568	Parus major	
15150	Lanius collurio	Red-backed Shrike	15150	Lanius collurio	1534817	Lanius collurio	
15280	Cyanocorax dickeyi	Dickey's Jay	15280	Cyanocorax dickeyi	1534788	Cyanocorax dickeyi	
15600	Coloeus monedula	Western Jackdaw	15600	Corvus monedula	1461962	Coloeus monedula	
15630	Corvus frugilegus	Rook	15630	Corvus frugilegus	558547	Corvus frugilegus	
15670	Corvus corone / cornix	Carrion / Hooded Crow	15670	Corvus corone	159387	Corvus	
15671	Corvus corone	Carrion Crow	15671	Corvus corone corone	232057	Corvus corone	
15673	Corvus cornix	Hooded Crow	15673	Corvus corone cornix	567860	Corvus cornix	
15720	Corvus corax	Northern Raven	15720	Corvus corax	159389	Corvus corax	
15749	Corvus sp.	unidentified crow	15749	Corvus sp.	159387	Corvus	15675 (v5)
15820	Sturnus vulgaris	Common Starling	15820	Sturnus vulgaris	558591	Sturnus vulgaris	
15910	Passer domesticus	House Sparrow	15910	Passer domesticus	1451658	Passer domesticus	
15980	Passer montanus	Eurasian Tree Sparrow	15980	Passer montanus	558571	Passer montanus	
16350	Vireo gilvus	Eastern Warbling Vireo	16350	Vireo gilvus	1484998	Vireo gilvus	
16360	Fringilla coelebs	Common chaffinch	16360	Fringilla coelebs	558558	Fringilla coelebs	
16380	Fringilla montifringilla	Brambling	16380	Fringilla montifringilla	558559	Fringilla montifringilla	
16389	Fringilla sp.	unidentified finch	16389	Fringilla sp.	558557	Fringilla	16365 (v5)
16400	Serinus serinus	European Serin	16400	Serinus serinus	1534879	Serinus serinus	
16490	Carduelis chloris	European Greenfinch	16490	Carduelis chloris	1534764	Carduelis chloris	unaccepted taxon in WoRMS
16520	Carduelis spinoides	Yellow-breasted Greenfinch	16520	Carduelis spinoides	1534769	Carduelis spinoides	unaccepted taxon in WoRMS
16530	Carduelis carduelis	European Goldfinch	16530	Carduelis carduelis	558536	Carduelis carduelis	
16540	Carduelis spinus	Eurasian Siskin	16540	Carduelis spinus	558538	Carduelis spinus	
16600	Carduelis cannabina	Common Linnet	16600	Carduelis cannabina	558535	Carduelis cannabina	
16620	Carduelis flavirostris	Twite	16620	Carduelis flavirostris	232062	Carduelis flavirostris	
16630	Carduelis flammea	Common Redpoll	16630	Carduelis flammea	558537	Carduelis flammea	
16660	Loxia curvirostra	Red Crossbill	16660	Loxia curvirostra	1484470	Loxia curvirostra	
16790	Carpodacus erythrinus	Common Rosefinch	16790	Carpodacus erythrinus	1534774	Carpodacus erythrinus	
17100	Pyrrhula pyrrhula	Eurasian Bullfinch	17100	Pyrrhula pyrrhula	1461958	Pyrrhula pyrrhula	
17170	Coccothraustes coccothraustes	Hawfinch	17170	Coccothraustes coccothraustes	558543	Coccothraustes coccothraustes	
17450	Dendroica virens	Black-throated Green Warbler	17450	Dendroica virens	422640	Dendroica virens	
18470	Calcarius lapponicus	Lapland Longspur	18470	Calcarius lapponicus	383230	Calcarius lapponicus	
18500	Plectrophenax nivalis	Snow Bunting	18500	Plectrophenax nivalis	383228	Plectrophenax nivalis	
18570	Emberiza citrinella	Yellowhammer	18570	Emberiza citrinella	1534790	Emberiza citrinella	
18770	Emberiza schoeniclus	Common Reed Bunting	18770	Emberiza schoeniclus	558549	Emberiza schoeniclus	
18810	Emberiza melanocephala	Black-headed Bunting	18810	Emberiza melanocephala	1534791	Emberiza melanocephala	
18820	Emberiza calandra	Corn Bunting	18820	Miliaria calandra	1534789	Emberiza calandra	
18829		unidentified bunting			159384	Passeriformes	
19998	Aves	unidentified bird			1836	Aves	
19999	Passeriformes	unidentified passerine			159384	Passeriformes	
51000		unidentified bat	51000		1037271	Chiroptera	
60000		unidentified marine mammal			1837	Mammalia	
61000		unidentified whale or dolphin	61000		2688	Cetacea	
61010		unidentified whale	61010		2688	Cetacea	
61020		unidentified large whale	61020		2688	Cetacea	
61040		unidentified large whale with distinct dorsal fin	61040		2688	Cetacea	
61050		unidentified medium whale	61050		2688	Cetacea	
61060		Sei / Minke / Bottlenosed Whale	61060		2688	Cetacea	
61070		unidentified small whale	61070		2688	Cetacea	
62040	Eubalaena australis	Northern Right Whale	62040	Balaena glacialis	220222	Eubalaena australis	
62210		unidentified large Baleanoptera sp.	62210		137013	Balaenoptera	Named Blue / Fin / Sei Whale (v6)
62220	Balaenoptera musculus	Blue Whale	62220	Balaenoptera musculus	137090	Balaenoptera musculus	
62230	Balaenoptera physalus	Fin Whale	62230	Balaenoptera physalus	137091	Balaenoptera physalus	
62240	Balaenoptera borealis	Sei Whale	62240	Balaenoptera borealis	137088	Balaenoptera borealis	
62250	Balaenoptera edeni	Bryde's Whale	62250	Balaenoptera edeni	137089	Balaenoptera edeni	
62260	Balaenoptera acutorostrata	Minke Whale	62260	Balaenoptera acutorostrata	137087	Balaenoptera acutorostrata	
62270	Megaptera novaeangliae	Humpback Whale	62270	Megaptera novaeangliae	137092	Megaptera novaeangliae	
62520	Physeter macrocephalus	Sperm Whale	62520	Physeter macrocephalus	137119	Physeter macrocephalus	
62540	Kogia sima	Dwarf Sperm Whale	62540	Kogia simus	159025	Kogia sima	
62620	Delphinapterus leucas	Beluga	62620	Delphinapterus leucas	137115	Delphinapterus leucas	
62740	Ziphius cavirostris	Cuvier's Beaked Whale	62740	Ziphius cavirostris	137127	Ziphius cavirostris	
62750	Hyperoodon ampullatus	Northern Bottlenose Whale	62750	Hyperoodon ampullatus	343899	Hyperoodon ampullatus	
62770	Mesoplodon sp.	unidentified beaked whale	62770	Mesoplodon sp.	137034	Mesoplodon	
62800	Mesoplodon mirus	True's Beaked Whale	62800	Mesoplodon mirus	137126	Mesoplodon mirus	
62880	Mesoplodon bidens	Sowerby's Beaked Whale	62880	Mesoplodon bidens	137121	Mesoplodon bidens	
62890	Mesoplodon densirostris	Blainville's Beaked Whale	62890	Mesoplodon densirostris	137122	Mesoplodon densirostris	
63010		unidentified medium whale with large fin	63010		2688	Cetacea	
63020	Orcinus orca	Killer Whale	63020	Orcinus orca	137102	Orcinus orca	
63030	Globicephala sp. / Pseudorca sp.	Pilot / False Killer Whale	63030	Globicephala sp. / Pseudorca sp.	136980	Delphinidae	
63040	Pseudorca crassidens	False Killer Whale	63040	Pseudorca crassidens	137104	Pseudorca crassidens	
63070	Globicephala melas	Long-finned Pilot Whale	63070	Globicephala melaena	137097	Globicephala melas	
63080	Globicephala macrorhynchus	Short-finned Pilot Whale	63080	Globicephala macrorhynchus	137096	Globicephala macrorhynchus	
63089	Globicephala sp.	unidentified pilot whale			137017	Globicephala	
63110		unidentified dolphin	63110		136980	Delphinidae	
63120		patterned dolphin	63120		136980	Delphinidae	
63130		unpatterned dolphin	63130		136980	Delphinidae	
63150	Souza teuszii	Atlantic Hump-backed Dolphin	63150	Souza teuszii	254970	Sousa teuszii	
63190	Tursiops truncatus	Bottlenose Dolphin	63190	Tursiops truncatus	137111	Tursiops truncatus	
63200	Stenella coeruleoalba	Striped Dolphin	63200	Stenella coeruleoalba	137107	Stenella coeruleoalba	
63240	Stenella frontalis	Atlantic Spotted Dolphin	63240	Stenella frontalis	137108	Stenella frontalis	
63250	Delphinus delphis	Common Dolphin	63250	Delphinus delphis	137094	Delphinus delphis	
63255	Delphinus delphis / Stenella coeruleoalba	Common / Striped Dolphin			136980	Delphinidae	
63260	Lagenorhynchus sp.		63260	Lagenorhynchus sp.	137020	Lagenorhynchus	
63270	Lagenorhynchus albirostris	White-beaked Dolphin	63270	Lagenorhynchus albirostris	137101	Lagenorhynchus albirostris	
63280	Lagenorhynchus acutus	Atlantic White-sided Dolphin	63280	Lagenorhynchus acutus	137100	Lagenorhynchus acutus	
63400	Grampus griseus	Risso's Dolphin	63400	Grampus griseus	137098	Grampus griseus	
63510	Phocoena phocoena	Harbour Porpoise	63510	Phocoena phocoena	137117	Phocoena phocoena	
64210	Odobenus rosmarus	Walrus	64210	Odobenus rosmarus	137077	Odobenus rosmarus	
64310		unidentified seal	64310		148736	Pinnipedia	
64320	Halichoerus grypus	Grey Seal	64320	Halichoerus grypus	137080	Halichoerus grypus	
64330	Phoca vitulina	Common Seal	64330	Phoca vitulina	137084	Phoca vitulina	
64350	Pusa hispida	Ringed Seal	64350	Phoca hispida	159021	Pusa hispida	
64380	Pagophilus groenlandicus	Harp Seal	64380	Phoca groenlandica	159019	Pagophilus groenlandicus	
64400	Cystophora cristata	Hooded Seal	64400	Cystophora cristata	137078	Cystophora cristata	
64410	Erignathus barbatus	Bearded Seal	64410	Erignathus barbatus	137079	Erignathus barbatus	
64420	Monachus monachus	Mediterranean Monk Seal	64420	Monachus monachus	137081	Monachus monachus	
65000		unidentified sea turtle			987094	Chelonioidea	
65010	Dermochelys coriacea	Leathery Turtle			137209	Dermochelys coriacea	
65020	Caretta caretta	Loggerhead Turtle			137205	Caretta caretta	
65040	Eretmochelys imbricata	Hawksbill Turtle			137207	Eretmochelys imbricata	
65050	Chelonia mydas	Green Turtle			137206	Chelonia mydas	
66000		unidentified shark			368408	Selachii	
66010	Lamna nasus	Porbeagle			105841	Lamna nasus	
66020	Isurus oxyrinchus	Mako			105839	Isurus oxyrinchus	
66030	Cetorhinus maximus	Basking Shark			105837	Cetorhinus maximus	
66050	Prionace glauca	Blue Shark			105801	Prionace glauca	
66065	Sphyrna sp.	unidentified hammerhead			105730	Sphyrna	
67000		unidentified flying fish			125452	Exocoetidae	
67600		unidentified tuna			267118	Scombrinae	
67810	Xiphias gladius	Swordfish			127094	Xiphias gladius	
67815	Makaira sp.	unidentified marlin			126013	Makaira	
67820	Mobula mobular	Devil Ray			105858	Mobula mobular	27820 (v5)
67900	Mola mola	Sun-fish			127405	Mola mola	
67902	Loligo sp.	unidentified myopsid squid			138139	Loligo	
67904	Coryphaena hippurus	Common Dolphinfish			126846	Coryphaena hippurus	
67905		unidentified fish			11676	Pisces	unaccepted taxon in WoRMS
67906	Ballistes carolinensis	Common trigger fish			154721	Balistes capriscus	
67907	Physalia physalis	Portuguese Man of War			135479	Physalia physalis	
68000	Ammodytes sp.	sandeel ball			125909	Ammodytes	
68001	Mallotus villosus	Capelin ball			126735	Mallotus villosus	
68002		unidentified fish school			10194	Actinopterygii	
68100		unidentified fish ball			10194	Actinopterygii	28100 (v5)
68500	Velella velella	Velella			117832	Velella velella	28500 (v5)
